SK_ID_CURR,TARGET,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY
100045,0,F,0,99000,247275,17338.5,225000,0.006207,-23920,365243,-9817,-4969,,1,0,0,1,1,0,2,2,2,11,0,0,0,0,0,0
100046,0,M,0,180000,540000,27000,540000,0.025164,-16126,-1761,-8236,-4292,3,1,1,0,1,0,0,2,2,2,8,0,0,0,0,0,0
100047,1,M,0,202500,1193580,35028,855000,0.025164,-17482,-1262,-1182,-1029,,1,1,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100048,0,F,0,202500,604152,29196,540000,0.009175,-16971,-475,-3148,-513,,1,1,0,1,1,0,2,2,2,12,0,1,1,0,1,1
100049,1,F,0,135000,288873,16258.5,238500,0.007305,-13384,-3597,-45,-4409,,1,1,1,1,1,0,2,3,3,11,0,0,0,0,0,0
100050,0,F,0,108000,746280,42970.5,675000,0.010966,-23548,365243,-5745,-4576,,1,0,0,1,0,0,1,2,2,9,0,0,0,0,0,0
100051,0,M,0,202500,661702.5,48280.5,598500,0.007114,-9827,-758,-4166,-2380,,1,1,1,1,0,0,2,2,2,12,0,0,0,0,1,1
100052,0,F,1,90000,180000,9000,180000,0.009334,-7974,-895,-6591,-642,,1,1,1,1,0,0,3,2,2,10,0,0,0,0,0,0
100053,0,F,0,202500,305221.5,17649,252000,0.019689,-20373,365243,-7760,-1993,,1,0,0,1,0,0,1,2,2,8,0,0,0,0,0,0
100054,0,F,0,99000,260640,26838,225000,0.022625,-20121,-5332,-9197,-3283,,1,1,1,1,1,0,2,2,2,16,0,0,0,0,1,1
100055,0,F,0,130500,1350000,37255.5,1350000,0.020713,-19727,-4411,-6225,-3199,,1,1,1,1,1,0,2,3,3,10,0,0,0,0,0,0
100056,0,M,0,360000,1506816,49927.5,1350000,0.010006,-18264,-9523,-5504,-1797,3,1,1,0,1,0,0,2,2,2,10,0,0,0,0,1,1
100058,0,F,0,54000,135000,6750,135000,0.01452,-12406,-1176,-1149,-2576,,1,1,0,0,0,0,2,2,2,9,0,0,0,0,0,0
100059,0,M,1,540000,675000,34596,675000,0.026392,-18632,-6977,-3904,-1937,7,1,1,0,1,1,0,3,2,2,10,0,0,0,0,0,0
100060,0,M,0,76500,454500,14661,454500,0.028663,-12282,-778,-1824,-1992,13,1,1,1,1,0,0,2,2,2,10,0,0,0,0,0,0
100061,0,F,2,225000,314055,16164,238500,0.006629,-10473,-1392,-2025,-1240,,1,1,0,1,0,0,4,2,2,3,0,0,0,1,1,0
100062,0,M,0,81000,675000,32472,675000,0.010006,-18611,365243,-6936,-2142,8,1,0,0,1,1,0,2,2,2,17,0,0,0,0,0,0
100063,0,F,0,180000,837427.5,45558,666000,0.022625,-12955,-4106,-7054,-5164,,1,1,0,1,1,1,2,2,2,15,0,0,0,0,0,0
100064,0,F,0,67500,298728,15381,202500,0.019101,-21621,365243,-2019,-1344,,1,0,0,1,0,0,1,2,2,9,0,0,0,0,0,0
100068,0,M,0,81000,247500,12375,247500,0.031329,-18248,-2351,-4375,-1721,,1,1,1,1,1,0,2,2,2,14,0,0,0,0,1,1
100069,0,M,1,360000,640458,27265.5,517500,0.00733,-14186,-1743,-2128,-4982,10,1,1,0,1,0,0,2,2,2,11,0,1,1,0,1,1
100070,0,M,0,540000,1227901.5,46899,1129500,0.032561,-20544,-2091,-6846,-566,2,1,1,1,1,0,0,1,1,1,14,0,0,0,0,0,0
100071,0,F,0,180000,1663987.5,86989.5,1588500,0.018801,-20121,-2446,-6755,-2177,,1,1,0,1,0,0,2,2,2,12,0,0,0,0,0,0
100072,0,M,0,180000,1080000,44118,1080000,0.010006,-7907,-1324,-4557,-586,,1,1,0,1,0,1,1,2,1,9,0,0,0,0,0,0
100073,0,M,0,324000,1130760,40189.5,810000,0.01885,-22843,365243,-1042,-3967,10,1,0,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100075,0,F,0,112500,95940,10462.5,90000,0.00496,-12240,-3720,-5246,-4541,,1,1,0,1,0,0,1,2,2,14,0,0,0,0,0,0
100076,0,M,0,180000,315000,9679.5,315000,0.028663,-13866,-2546,-5448,-4097,1,1,1,0,1,0,0,2,2,2,12,0,0,0,0,0,0
100077,0,M,0,180000,1256400,40657.5,900000,0.072508,-12049,-579,-6105,-1,,1,1,0,1,0,0,1,1,1,12,0,0,0,0,0,0
100078,0,F,0,180000,1035000,43983,1035000,0.028663,-19550,-4856,-6836,-3084,21,1,1,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100079,0,M,0,225000,270000,13500,270000,0.00733,-15359,-114,-5076,-2922,,1,1,0,1,0,0,1,2,2,9,0,0,0,0,1,1
100080,0,F,1,157500,450000,22500,450000,0.010966,-11956,-3154,-8118,-4143,,1,1,0,1,0,0,3,2,2,10,0,0,0,0,0,0
100081,0,M,0,180000,450000,21109.5,450000,0.01452,-10848,-121,-4809,-3494,20,1,1,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100082,0,M,2,180000,450000,21109.5,450000,0.01885,-12009,-2844,-1377,-3656,,1,1,1,1,1,0,4,2,2,12,0,0,0,0,0,0
100083,0,M,0,103500,573628.5,24435,463500,0.009657,-15406,-892,-341,-4176,22,1,1,0,1,0,0,2,2,2,18,0,0,0,0,0,0
100084,0,M,2,225000,495351,26140.5,459000,0.02461,-14860,-1156,-23,-1072,,1,1,0,1,0,0,3,2,2,10,0,0,0,0,0,0
100085,0,M,1,157500,755190,28894.5,675000,0.016612,-11187,-2224,-3253,-3723,,1,1,1,1,0,0,3,2,2,12,0,0,0,0,0,0
100086,0,F,1,135000,675000,21775.5,675000,0.019101,-14264,-2492,-4327,-4517,,1,1,0,1,0,0,2,2,2,12,0,0,0,0,0,0
100087,0,F,1,202500,1288350,37800,1125000,0.003069,-17542,-2011,-1529,-988,,1,1,0,1,0,0,3,3,3,11,0,0,0,0,0,0
100088,0,F,0,112500,135000,6750,135000,0.0228,-19467,-4066,-4623,-2975,,1,1,0,1,0,0,2,2,2,15,0,0,0,0,0,0
100089,0,M,0,135000,337761,15781.5,256500,0.025164,-9666,-2811,-4437,-2342,,1,1,0,1,1,0,2,2,2,12,0,0,0,0,0,0
100093,0,F,1,94500,585000,28273.5,585000,0.028663,-18253,-721,-1701,-1779,,1,1,0,1,1,0,3,2,2,16,0,0,0,0,0,0
100094,0,F,0,108000,113760,5301,90000,0.030755,-22935,365243,-12623,-3442,,1,0,0,1,0,0,1,2,2,10,0,0,0,0,0,0
100095,0,F,2,67500,135000,6750,135000,0.020246,-18693,-1434,-10255,-2241,,1,1,0,1,1,0,4,3,3,8,0,0,0,0,0,0
100096,1,F,0,81000,252000,14593.5,252000,0.028663,-24794,365243,-5391,-4199,,1,0,0,1,0,0,2,2,2,10,0,0,0,0,0,0
100097,0,M,0,157500,760225.5,30280.5,679500,0.035792,-17527,-2442,-3500,-983,20,1,1,0,1,0,0,2,2,2,10,0,0,0,0,1,1
100098,0,M,0,225000,270000,13500,270000,0.01885,-17390,-924,-7211,-907,1,1,1,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100099,0,F,0,360000,733315.5,41076,679500,0.009175,-23032,365243,-9506,-793,,1,0,0,1,0,0,1,2,2,12,1,0,0,0,0,0
100100,0,M,2,202500,796396.5,38443.5,643500,0.008019,-15909,-1094,-3134,-4180,65,1,1,0,1,0,1,4,2,2,17,0,0,0,0,1,1
100101,0,F,0,202500,343377,22072.5,283500,0.072508,-18138,-969,-7421,-1681,5,1,1,0,1,0,0,1,1,1,13,0,0,0,0,0,0
100102,0,F,1,126000,327024,10264.5,270000,0.02461,-14321,-192,-6913,-5942,,1,1,0,1,1,0,2,2,2,13,0,0,0,0,0,0
100103,0,F,0,72000,450000,16965,450000,0.009175,-21112,-1694,-6057,-4013,,1,1,1,1,0,0,2,2,2,12,0,0,0,0,0,0
100104,0,F,0,90000,547344,30690,472500,0.022625,-18556,-862,-6769,-2045,,1,1,0,1,1,0,2,2,2,17,0,0,0,0,0,0
100105,0,F,0,193500,225000,23755.5,225000,0.031329,-19810,-8862,-4493,-3043,,1,1,1,1,1,0,2,2,2,11,0,0,0,0,0,0
100108,0,F,3,171000,545040,31288.5,450000,0.006629,-12780,-1415,-5146,-870,,1,1,1,1,1,0,5,2,2,11,0,0,0,0,1,1
100110,0,M,3,135000,373140,25065,337500,0.035792,-10744,-741,-442,-2381,21,1,1,0,1,0,0,5,2,2,9,0,0,0,0,1,1
100111,0,F,1,112500,862560,27954,720000,0.0228,-10485,-1249,-4628,-3110,17,1,1,0,1,0,0,3,2,2,11,0,0,0,0,0,0
100112,1,M,0,315000,953460,64107,900000,0.030755,-10199,-2015,-4802,-1038,2,1,1,0,1,0,0,1,2,2,13,0,0,0,0,1,1
100113,0,M,0,76500,135000,6696,135000,0.028663,-15137,-7980,-9176,-4576,11,1,1,1,1,0,0,1,2,2,10,0,0,0,0,0,0
100114,0,F,0,135000,284400,22599,225000,0.030755,-10734,-693,-7913,-1362,,1,1,0,1,0,0,1,2,2,14,0,0,0,1,1,0
100115,0,F,0,90000,315000,14683.5,315000,0.028663,-15371,-367,-3071,-4211,,1,1,1,1,1,0,2,2,2,11,0,0,0,0,1,1
100116,0,F,0,243000,900000,32017.5,900000,0.010006,-14751,-6737,-3390,-4788,,1,1,0,1,0,1,2,2,1,11,0,0,0,0,1,1
100118,0,F,0,90000,675000,26541,675000,0.026392,-22471,365243,-217,-4323,,1,0,0,1,0,0,1,2,2,15,0,0,0,0,0,0
100119,0,F,0,54000,180000,9000,180000,0.015221,-11142,-2419,-4987,-467,,1,1,0,1,0,0,2,2,2,16,0,0,0,0,0,0
100120,0,F,0,135000,781920,28215,675000,0.019689,-9650,-2953,-4329,-367,,1,1,1,1,0,0,2,2,2,15,0,0,0,0,1,1
100121,0,M,0,126000,787131,26145,679500,0.018209,-16798,-669,-9388,-347,,1,1,1,1,1,0,2,3,3,7,0,0,0,0,0,0
100122,0,F,1,76500,808650,26217,675000,0.0228,-10954,-2469,-550,-596,,1,1,0,1,1,0,3,2,2,11,0,0,0,0,0,0
100123,0,F,0,103500,675000,19737,675000,0.020246,-23719,-8466,-3917,-4036,,1,1,1,1,0,0,1,3,3,16,0,0,0,0,0,0
100124,0,M,0,225000,448272,28647,396000,0.072508,-24051,365243,-7040,-4053,,1,0,0,1,1,1,1,1,1,17,0,0,0,0,0,0
100125,0,F,0,126000,263686.5,26208,238500,0.009549,-21613,365243,-2376,-2434,,1,0,0,1,1,0,2,2,2,11,0,0,0,0,0,0
100126,0,M,2,135000,180000,9000,180000,0.04622,-12900,-782,-2124,-3888,,1,1,1,1,0,0,4,1,1,21,0,0,0,0,1,1
100127,0,M,0,112500,52128,5341.5,45000,0.02461,-21341,365243,-10150,-1403,,1,0,0,1,1,0,2,2,2,7,0,0,0,0,0,0
100129,0,F,1,85500,135000,6750,135000,0.018029,-9415,-225,-4066,-2104,5,1,1,0,0,0,0,3,3,2,8,0,0,0,0,0,0
100130,1,F,1,157500,723996,30802.5,585000,0.007274,-10526,-267,-387,-3190,,1,1,0,1,1,0,2,2,2,12,0,1,1,0,1,1
100131,0,F,0,270000,891072,45625.5,720000,0.072508,-13830,-1169,-7953,-4802,,1,1,0,1,0,0,1,1,1,15,0,0,0,0,0,0
100132,0,F,0,202500,1136439,73611,1089000,0.032561,-23656,-968,-14666,-4456,,1,1,0,1,1,0,1,1,1,14,0,0,0,0,0,0
100133,0,F,0,67500,384048,18810,270000,0.002134,-9207,-1043,-4069,-1882,,1,1,0,1,0,0,2,3,3,10,0,0,0,0,1,1
100134,0,F,0,202500,180000,9000,180000,0.018634,-10085,-465,-9649,-1666,,1,1,0,0,0,0,2,2,2,17,0,0,0,0,0,0
100135,0,M,0,135000,391194,26271,319500,0.00733,-19829,-215,-4730,-3368,,1,1,0,1,0,0,2,2,2,10,1,1,0,1,1,0
100136,0,M,1,157500,1571931,49356,1435500,0.04622,-15949,-239,-1146,-4321,9,1,1,0,1,1,1,3,1,1,13,0,0,0,0,0,0
100137,0,F,0,225000,891072,45625.5,720000,0.020246,-20284,365243,-1990,-2556,2,1,0,0,1,0,0,2,3,3,8,0,0,0,0,0,0
100138,0,M,0,135000,824823,29223,688500,0.04622,-14339,365243,-1104,-4620,5,1,0,0,1,0,0,2,1,1,14,0,0,0,0,0,0
100139,0,F,1,157500,302341.5,24016.5,261000,0.010276,-13286,-2305,-6685,-4955,,1,1,0,1,0,1,3,2,2,10,0,0,0,1,1,0
100140,0,F,0,157500,675000,33750,675000,0.030755,-9223,-802,-4067,-505,,1,1,0,1,0,0,2,2,2,9,0,0,0,1,1,0
100142,0,M,1,360000,579195,27994.5,468000,0.018801,-13379,-5387,-6869,-4540,7,1,1,0,1,0,0,3,2,2,11,0,0,0,0,1,1
100143,0,M,0,162000,270000,13500,270000,0.035792,-22881,-3420,-1481,-4802,,1,1,0,1,0,0,2,2,2,10,0,0,0,0,0,0
100144,0,F,0,112500,535500,30028.5,535500,0.028663,-16759,-4560,-3079,-296,,1,1,0,1,0,0,1,2,2,17,0,0,0,0,0,0
100145,0,F,1,202500,260725.5,16789.5,198000,0.01885,-16282,-4375,-762,-1494,8,1,1,0,1,0,0,2,2,2,11,0,0,0,0,0,0
100146,0,M,0,117000,327024,12456,270000,0.00733,-22959,365243,-1730,-4047,13,1,0,0,1,0,0,2,2,2,9,0,0,0,0,0,0
100147,0,F,1,135000,518562,22099.5,463500,0.003813,-16142,-2832,-3440,-3970,,1,1,0,1,0,0,3,2,2,7,0,0,0,0,0,0
100148,0,F,0,247500,755190,36459,675000,0.008575,-16340,-8647,-4182,-4259,,1,1,0,1,0,0,2,2,2,17,0,0,0,0,0,0
100149,0,M,0,171000,539590.5,26374.5,445500,0.030755,-9203,-481,-1642,-1639,4,1,1,0,1,0,0,2,2,2,17,0,0,0,0,0,0
100151,0,M,0,135000,182016,11772,144000,0.019101,-16522,-1451,-4101,-66,,1,1,0,1,0,0,1,2,2,10,0,0,0,0,0,0
100152,0,F,0,157500,254412,9720,166500,0.010032,-16083,-2764,-7358,-4654,,1,1,0,1,0,0,2,2,2,11,0,0,0,0,0,0
100153,0,M,0,202500,1107981,32526,967500,0.031329,-18413,-1895,-10826,-1947,15,1,1,0,1,0,0,2,2,2,10,0,0,0,0,0,0
100154,0,M,0,144000,180000,9000,180000,0.030755,-12157,-2995,-4055,-267,,1,1,0,1,0,0,2,2,2,11,0,0,0,0,0,0
100155,0,M,0,157500,675000,21906,675000,0.015221,-11944,-2899,-5812,-2722,,1,1,1,1,1,0,2,2,2,11,0,1,1,0,1,1
100156,0,F,2,157500,945000,39127.5,945000,0.018209,-14235,-5411,-2248,-5376,65,1,1,0,1,0,0,4,3,3,14,0,0,0,0,0,0
100157,0,M,0,180000,1755000,61132.5,1755000,0.01452,-16086,-1549,-3174,-4584,,1,1,0,1,0,0,2,2,2,7,0,0,0,0,0,0
100158,0,M,0,180000,590337,27486,477000,0.0228,-12348,-1821,-1909,-4800,,1,1,0,1,1,0,2,2,2,12,0,0,0,0,0,0
100159,0,F,0,225000,1515415.5,41800.5,1354500,0.003818,-14645,-4027,-7154,-1969,,1,1,1,1,1,0,2,2,2,3,0,0,0,0,0,0
100160,1,M,0,292500,675000,36747,675000,0.035792,-16667,-200,-5239,-114,,1,1,1,1,1,0,2,2,2,18,1,1,0,1,1,0
100161,0,F,0,90000,370629,13972.5,306000,0.00712,-16219,-2599,-9329,-4325,,1,1,0,1,0,0,2,2,2,9,0,0,0,0,1,1
100162,0,F,0,112500,547344,18216,472500,0.020246,-21061,365243,-5439,-4488,,1,0,0,1,0,0,1,3,3,6,0,0,0,0,0,0
100163,0,F,0,130500,550489.5,19773,454500,0.018209,-19718,-5717,-8940,-3200,,1,1,1,1,1,0,1,3,3,11,0,0,0,0,0,0
100164,0,F,1,450000,407434.5,43362,387000,0.0105,-16097,-2630,-110,-3852,3,1,1,0,1,0,0,3,3,3,17,0,0,0,0,0,0
100165,0,F,0,175500,1293502.5,35568,1129500,0.01885,-21961,365243,-8887,-4379,9,1,0,0,1,1,0,2,2,2,16,0,0,0,0,0,0
100166,0,F,3,58500,152820,15241.5,135000,0.025164,-14359,-1894,-2908,-4480,,1,1,1,1,0,0,5,2,2,8,0,0,0,0,1,1
100167,0,F,0,180000,427500,46170,427500,0.026392,-15127,-1039,-4221,-652,,1,1,0,1,1,0,2,2,2,16,0,0,0,0,1,1
100173,0,F,0,117000,781920,26725.5,675000,0.02461,-11633,-2596,-5430,-3851,,1,1,0,1,1,0,1,2,2,17,0,0,0,0,0,0
100174,0,F,2,180000,225000,11250,225000,0.032561,-14597,-1997,-8491,-3681,,1,1,1,1,1,0,4,1,1,15,0,0,0,0,0,0
100175,0,F,1,202500,1251072,45067.5,1080000,0.010147,-16296,-266,-164,-4568,,1,1,0,1,0,0,3,2,2,19,0,0,0,0,0,0
100176,0,F,0,135000,1078200,31653,900000,0.010006,-17682,-4319,-2630,-1211,,1,1,0,1,1,0,2,2,2,6,0,0,0,0,0,0
100177,0,M,1,112500,312682.5,33309,297000,0.010643,-14311,-334,-8401,-4248,,1,1,1,1,0,0,3,2,2,10,0,1,1,0,1,1
100178,0,F,0,119250,679500,28917,679500,0.008866,-19286,-1485,-7887,-2835,,1,1,1,1,1,0,1,2,2,13,0,0,0,0,0,0
100179,0,F,0,202500,675000,53329.5,675000,0.031329,-11375,-2311,-180,-2009,4,1,1,0,1,0,0,2,2,2,13,0,0,0,0,0,0
100180,0,F,1,315000,1288350,37800,1125000,0.020713,-15581,-4940,-9520,-5239,,1,1,0,1,0,0,3,3,2,15,0,0,0,0,1,1
100181,1,F,0,157500,245619,12667.5,166500,0.022625,-17538,-7676,-774,-1082,,1,1,0,1,1,0,1,2,2,9,0,0,0,0,0,0
100182,0,F,1,112500,135000,6750,135000,0.020246,-13558,-4758,-6426,-4360,,1,1,0,1,0,0,2,3,3,8,0,0,0,0,0,0
100183,0,F,0,103500,239850,23494.5,225000,0.018634,-24729,365243,-4047,-4523,,1,0,0,1,1,0,1,2,2,12,0,0,0,0,0,0
100185,0,M,0,58500,187704,10903.5,148500,0.018029,-20215,365243,-3508,-3558,,1,0,0,1,0,0,2,3,2,7,0,0,0,0,0,0
100186,0,F,0,117000,269550,13095,225000,0.00702,-21861,365243,-830,-4830,,1,0,0,1,1,0,1,2,2,12,0,0,0,0,0,0
100188,0,F,1,225000,1325475,56290.5,1125000,0.002506,-15323,-5785,-5368,-3602,,1,1,0,1,0,0,3,2,2,4,0,0,0,0,1,1
100189,0,F,0,135000,263844,14440.5,189000,0.020713,-16807,-1094,-8184,-339,,1,1,0,1,1,0,1,3,2,6,0,0,0,0,1,1
100190,0,M,0,162000,263686.5,24781.5,238500,0.022625,-13972,-4472,-464,-4529,3,1,1,0,1,1,0,2,2,2,16,0,0,0,0,0,0
100191,0,F,0,112500,544491,17563.5,454500,0.030755,-21819,-8355,-8440,-4474,,1,1,0,1,0,0,1,2,2,18,0,0,0,0,0,0
100192,1,F,0,111915,225000,21037.5,225000,0.018801,-7989,-150,-2570,-646,,1,1,1,1,0,0,1,2,2,16,0,0,0,0,1,1
100193,0,F,0,225000,296280,15124.5,225000,0.020246,-17879,-940,-2294,-1441,15,1,1,1,1,0,0,1,3,3,15,0,0,0,0,0,0
100194,0,F,2,157500,315000,15750,315000,0.020246,-12805,-5258,-3262,-3884,,1,1,0,1,1,0,4,3,3,11,0,0,0,0,0,0
100195,0,M,0,90000,336150,9373.5,202500,0.030755,-10887,-341,-5333,-2828,8,1,1,0,1,0,0,1,2,2,12,0,0,0,0,1,1
100196,0,F,0,164250,755190,32125.5,675000,0.018029,-11568,-2331,-1082,-824,8,1,1,0,1,0,0,2,3,3,7,0,0,0,0,0,0
100197,0,F,2,157500,497520,28692,450000,0.003813,-12019,-1148,-682,-2588,,1,1,0,1,0,0,4,2,2,11,0,0,0,0,0,0
100198,0,M,1,135000,531000,32616,531000,0.028663,-13116,-1786,-7237,-3168,1,1,1,0,1,0,0,3,2,2,10,0,0,0,0,0,0
100199,0,F,0,112500,269550,18891,225000,0.022625,-20858,-472,-8167,-4411,,1,1,0,1,0,0,2,2,2,15,0,0,0,0,1,1
100200,0,F,0,216000,450000,27193.5,450000,0.026392,-16891,-2730,-7519,-434,,1,1,1,1,1,0,1,2,2,10,0,0,0,0,0,0
